accession,label,subclass,neg_family,name,source,structure_source,confidence_score,source_filename,original_structure_path
CAO83029.1,positive,B1,,VIM-18,CARD,afdb,,A7WPA3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A7WPA3.pdb
AFP99175.1,positive,B1,,VIM-33,CARD,afdb,,J7HBJ4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/J7HBJ4.pdb
CAD61201.1,positive,B1,,VIM-7,CARD,afdb,,Q840P9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q840P9.pdb
AJP18054.1,positive,B1,,NDM-14,CARD,afdb,,A0A0C5H135.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5H135.pdb
AJP77059.1,positive,B3,,PEDO-1,CARD,afdb,,A0A0C5LDD9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5LDD9.pdb
AJP77071.1,positive,B3,,PEDO-2,CARD,afdb,,A0A0C5L392.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5L392.pdb
AJP77076.1,positive,B1,,PEDO-3,CARD,afdb,,A0A0C5L398.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5L398.pdb
AJP77054.1,positive,B3,,CPS-1,CARD,afdb,,A0A0C5LDD5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5LDD5.pdb
AJP77085.1,positive,B3,,ESP-1,CARD,afdb,,A0A0C5LQ44.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5LQ44.pdb
AJP77057.1,positive,B3,,MSI-1,CARD,afdb,,A0A0C5LDH9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5LDH9.pdb
AJP77080.1,positive,B3,,SPG-1,CARD,afdb,,A0A0C5LQ34.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0C5LQ34.pdb
CAD37801.1,positive,B1,,SPM-1,CARD,afdb,,Q8G9Q0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q8G9Q0.pdb
AFV91534.1,positive,UNCLASSIFIED,,FIM-1,CARD,afdb,,K7SA42.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/K7SA42.pdb
AQY45923.1,positive,B1,,NDM-20,CARD,afdb,,A0A2P1H1P0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A2P1H1P0.pdb
AYP70146.1,positive,B1,,NDM-27,CARD,afdb,,A0A3G3C0Q6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A3G3C0Q6.pdb
QAT97614.1,positive,B1,,NDM-28,CARD,afdb,,A0A410SN60.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A410SN60.pdb
AGH88989.1,positive,UNCLASSIFIED,,BRP(MBL),CARD,afdb,,G3GBT0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/G3GBT0.pdb
AOT73359.1,positive,B1,,NDM-17,CARD,afdb,,A0A1P8C735.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A1P8C735.pdb
CBY88906.1,positive,B1,,TMB-1,CARD,afdb,,E7BCS5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/E7BCS5.pdb
BAM73613.1,positive,B1,,TMB-2,CARD,afdb,,L0N4W6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/L0N4W6.pdb
AAF94716.1,positive,B1,,Vibrio cholerae varG,CARD,afdb,,Q9KRS4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q9KRS4.pdb
AKF43458.1,positive,B1,,NDM-15,CARD,afdb,,A0A0F6ZNP0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0F6ZNP0.pdb
BAR80870.1,positive,B1,,IMP-52,CARD,afdb,,A0A0G4CR63.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0G4CR63.pdb
ASC49561.1,positive,B1,,NDM-19,CARD,afdb,,A0A1Z3FWF5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A1Z3FWF5.pdb
ALT07696.1,positive,B1,,IMP-55,CARD,afdb,,A0A0S2MTX2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0S2MTX2.pdb
ALT53802.1,positive,B1,,IMP-56,CARD,afdb,,A0A0U2ULS0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0U2ULS0.pdb
APZ75411.1,positive,B1,,NDM-18,CARD,afdb,,A0A1P8VH15.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A1P8VH15.pdb
ATJ25942.1,positive,B1,,NDM-21,CARD,afdb,,A0A291NY14.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A291NY14.pdb
AVX51087.1,positive,UNCLASSIFIED,,CAM-1,CARD,afdb,,A0A2R4PHC7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A2R4PHC7.pdb
AWI33311.1,positive,B1,,NDM-22,CARD,afdb,,A0A2S1T3V3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A2S1T3V3.pdb
ASU31903.1,positive,B1,,IMP-68,CARD,afdb,,A0A288Z5L0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A288Z5L0.pdb
QFZ95817.1,positive,B1,,NDM-29,CARD,afdb,,A0A5Q0MV96.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A5Q0MV96.pdb
BAF91108.1,positive,B1,,KHM-1,CARD,afdb,,A8R403.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A8R403.pdb
BAO01151.1,positive,B3,,PAM-1,CARD,afdb,,U3U4Q6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/U3U4Q6.pdb
AKZ20823.1,positive,B1,,NDM-16a,CARD,afdb,,A0A0K1Z5K4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A0K1Z5K4.pdb
QVU28093.1,positive,B1,,NDM-34,CARD,afdb,,A0A8E7DAJ6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8E7DAJ6.pdb
QVU28098.1,positive,B1,,NDM-35,CARD,afdb,,A0A8E7DD97.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8E7DD97.pdb
QWO25674.1,positive,B1,,NDM-38,CARD,afdb,,A0A8F1D5U2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8F1D5U2.pdb
QYZ89892.1,positive,B1,,NDM-39,CARD,afdb,,A0A8G1A6Q8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8G1A6Q8.pdb
QYZ89893.1,positive,B1,,NDM-40,CARD,afdb,,A0A8G1A6Z8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8G1A6Z8.pdb
APL95059.1,positive,B3,,SIE-1,CARD,afdb,,A0A1L5BQA7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A1L5BQA7.pdb
QTH36338.1,positive,B1,,AFM-3,CARD,afdb,,A0A8A5YR11.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8A5YR11.pdb
AAW82619.1,positive,B3,,GOB-17,CARD,afdb,,Q5EEU4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/Q5EEU4.pdb
BBQ04269.1,positive,B3,,GOB-52,CARD,afdb,,A0A5S9MQZ5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A5S9MQZ5.pdb
QIZ64888.1,positive,B1,,IMP-86,CARD,afdb,,A0A8E4CDK2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8E4CDK2.pdb
QIZ64889.1,positive,B1,,IMP-87,CARD,afdb,,A0A8E4CDL2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8E4CDL2.pdb
QTG68658.1,positive,B1,,IMP-90,CARD,afdb,,A0A8A5TKR5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/script/data/structures/A0A8A5TKR5.pdb
O44476,hard_negative,,rnase_z,Zinc phosphodiesterase ELAC protein 2 homolog (EC 3.1.26.11) (Homolog of ELAC2 protein) (tRNA 3 endonuclease 2) (tRNase Z 2),UniProt,afdb,,O44476.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O44476.pdb
Q8L633,hard_negative,,rnase_z,"tRNase Z TRZ2, chloroplastic (EC 3.1.26.11) (Chloroplast ribonuclease Z) (Chloroplast RNase Z) (Short tRNase Z 2) (Zinc phosphodiesterase CPZ) (tRNA 3 endonuclease) (tRNase ZS2) (AthTRZS2)",UniProt,afdb,,Q8L633.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8L633.pdb
Q8LGU7,hard_negative,,rnase_z,tRNase Z TRZ1 (EC 3.1.26.11) (Nuclear ribonuclease Z) (Nuclear RNase Z) (Short tRNase Z 1) (Zinc phosphodiesterase NUZ) (tRNA 3 endonuclease) (tRNase ZS1) (AthTRZS1),UniProt,afdb,,Q8LGU7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8LGU7.pdb
D4GZ88,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,D4GZ88.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/D4GZ88.pdb
P54548,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,P54548.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/P54548.pdb
P87168,hard_negative,,rnase_z,"Ribonuclease Z 2, mitochondrial (RNase Z 2) (EC 3.1.26.11) (tRNA 3 endonuclease 2) (tRNase Z 2)",UniProt,afdb,,P87168.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/P87168.pdb
A0PTY0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A0PTY0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A0PTY0.pdb
A0RID9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A0RID9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A0RID9.pdb
A0RYQ9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A0RYQ9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A0RYQ9.pdb
A2BY56,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A2BY56.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A2BY56.pdb
A2C4C2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A2C4C2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A2C4C2.pdb
A2C725,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A2C725.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A2C725.pdb
A5GN87,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A5GN87.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A5GN87.pdb
A5VJA0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A5VJA0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A5VJA0.pdb
A6L3H3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A6L3H3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A6L3H3.pdb
A6UUY8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A6UUY8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A6UUY8.pdb
A7GSG2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A7GSG2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A7GSG2.pdb
A7Z6F0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A7Z6F0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A7Z6F0.pdb
