structure_id,source_uri,label,tier,subclass,is_predicted,is_reference_bank
G71,local:final_structures/G71.pdb,positive,3,B1,true,false
G74,local:final_structures/G74.pdb,positive,3,B1,true,false
G77,local:final_structures/G77.pdb,positive,3,B1,true,false
APR64485.1,local:final_structures/APR64485.1.pdb,positive,3,B3,true,false
APR64486.1,local:final_structures/APR64486.1.pdb,positive,3,B1,true,false
APR64487.1,local:final_structures/APR64487.1.pdb,positive,3,B3,true,false
APR64488.1,local:final_structures/APR64488.1.pdb,positive,3,B3,true,false
APR64489.1,local:final_structures/APR64489.1.pdb,positive,3,B3,true,false
APR64490.1,local:final_structures/APR64490.1.pdb,positive,3,B3,true,false
APR64491.1,local:final_structures/APR64491.1.pdb,positive,3,B3,true,false
APR64492.1,local:final_structures/APR64492.1.pdb,positive,3,B3,true,false
APR64493.1,local:final_structures/APR64493.1.pdb,positive,3,B1,true,false
AEX08599.1,local:final_structures/G9JVE6.pdb,positive,3,B1,true,false
AGT37351.1,local:final_structures/S5ZIP8.pdb,positive,3,B1,true,false
AAZ73123.1,local:final_structures/Q3YBY0.pdb,positive,3,B1,true,false
AFN88953.1,local:final_structures/I6ZVA9.pdb,positive,3,B1,true,false
AFP99885.1,local:final_structures/J7HGI2.pdb,positive,3,B1,true,false
ABW90721.1,local:final_structures/B5KVR9.pdb,positive,3,B1,true,false
AJP67511.1,local:final_structures/A0A0C5KH21.pdb,positive,3,B1,true,false
AAS13759.1,local:final_structures/Q6QUV4.pdb,positive,3,B1,true,false
AWU66462.1,local:final_structures/A0A2Z4BV56.pdb,positive,3,B1,true,false
AGE83081.2,local:final_structures/M1JB36.pdb,positive,3,B1,true,false
ABR10840.1,local:final_structures/Q9K2N0.pdb,positive,3,B1,true,false
AAN84550.1,local:final_structures/Q8GCU7.pdb,positive,3,B1,true,false
BAQ02518.1,local:final_structures/A0A0A8J940.pdb,positive,3,B1,true,false
AWU66463.1,local:final_structures/A0A2Z4BV07.pdb,positive,3,B1,true,false
CBY80143.1,local:final_structures/E5BDC6.pdb,positive,3,B1,true,false
AAT36613.1,local:final_structures/Q700T0.pdb,positive,3,B1,true,false
AGC50805.1,local:final_structures/L7UN39.pdb,positive,3,B1,true,false
AFQ31613.1,local:final_structures/J7I0S9.pdb,positive,3,B1,true,false
ACB54703.1,local:final_structures/B4YAJ7.pdb,positive,3,B1,true,false
BAM84089.1,local:final_structures/M1VE66.pdb,positive,3,B1,true,false
AEI25539.1,local:final_structures/F8UTU0.pdb,positive,3,B1,true,false
AAN52134.1,local:final_structures/Q8GKX2.pdb,positive,3,B1,true,false
AYF56302.1,local:final_structures/A0A5K6VNM3.pdb,positive,3,B1,true,false
CAZ39946.1,local:final_structures/C7C422.pdb,positive,3,B1,true,false
ADO50679.1,local:final_structures/E5G503.pdb,positive,3,B1,true,false
AFK24647.1,local:final_structures/I3RJZ3.pdb,positive,3,B1,true,false
ACY29468.1,local:final_structures/D2D9J0.pdb,positive,3,B1,true,false
ADX78234.1,local:final_structures/F6L7B6.pdb,positive,3,B1,true,false
CAJ32502.1,local:final_structures/Q8KRJ3.pdb,positive,3,B1,true,false
AEN03071.1,local:final_structures/G3K399.pdb,positive,3,B1,true,false
CAC87665.1,local:final_structures/Q8KKG1.pdb,positive,3,B3,true,false
AGU91756.1,local:final_structures/T2A6Y2.pdb,positive,3,B1,true,false
AGS82586.1,local:final_structures/A0A059PYQ6.pdb,positive,3,B1,true,false
AAN63496.1,local:final_structures/Q9XAY4.pdb,positive,3,B1,true,false
AAA22562.1,local:final_structures/P14488.pdb,positive,3,B1,true,false
ADL27533.1,local:final_structures/E0AFT6.pdb,positive,3,B1,true,false
AFK80349.1,local:final_structures/I3VKD5.pdb,positive,3,B1,true,false
ABC94518.1,local:final_structures/Q2HY42.pdb,positive,3,B1,true,false
AIY26289.1,local:final_structures/A0A0A1ECK6.pdb,positive,3,B1,true,false
AEA41876.1,local:final_structures/F2YZ26.pdb,positive,3,B1,true,false
AAT48653.1,local:final_structures/Q6GUL7.pdb,positive,3,B1,true,false
AGC92784.1,local:final_structures/L7X1X1.pdb,positive,3,B1,true,false
ACB54702.1,local:final_structures/B4YAJ6.pdb,positive,3,B1,true,false
AAG27703.1,local:final_structures/Q9F629.pdb,positive,3,B1,true,false
AFB82585.1,local:final_structures/H6WZS9.pdb,positive,3,B1,true,false
BAO79439.1,local:final_structures/A0A024FRL9.pdb,positive,3,B1,true,false
CAO83029.1,local:final_structures/A7WPA3.pdb,positive,3,B1,true,false
AFP99175.1,local:final_structures/J7HBJ4.pdb,positive,3,B1,true,false
CAD61201.1,local:final_structures/Q840P9.pdb,positive,3,B1,true,false
AJP18054.1,local:final_structures/A0A0C5H135.pdb,positive,3,B1,true,false
AJP77059.1,local:final_structures/A0A0C5LDD9.pdb,positive,3,B3,true,false
AJP77071.1,local:final_structures/A0A0C5L392.pdb,positive,3,B3,true,false
AJP77076.1,local:final_structures/A0A0C5L398.pdb,positive,3,B1,true,false
AJP77054.1,local:final_structures/A0A0C5LDD5.pdb,positive,3,B3,true,false
AJP77085.1,local:final_structures/A0A0C5LQ44.pdb,positive,3,B3,true,false
AJP77057.1,local:final_structures/A0A0C5LDH9.pdb,positive,3,B3,true,false
AJP77080.1,local:final_structures/A0A0C5LQ34.pdb,positive,3,B3,true,false
CAD37801.1,local:final_structures/Q8G9Q0.pdb,positive,3,B1,true,false
AFV91534.1,local:final_structures/K7SA42.pdb,positive,3,UNCLASSIFIED,true,false
AQY45923.1,local:final_structures/A0A2P1H1P0.pdb,positive,3,B1,true,false
AYP70146.1,local:final_structures/A0A3G3C0Q6.pdb,positive,3,B1,true,false
QAT97614.1,local:final_structures/A0A410SN60.pdb,positive,3,B1,true,false
AGH88989.1,local:final_structures/G3GBT0.pdb,positive,3,UNCLASSIFIED,true,false
AOT73359.1,local:final_structures/A0A1P8C735.pdb,positive,3,B1,true,false
CBY88906.1,local:final_structures/E7BCS5.pdb,positive,3,B1,true,false
BAM73613.1,local:final_structures/L0N4W6.pdb,positive,3,B1,true,false
AAF94716.1,local:final_structures/Q9KRS4.pdb,positive,3,B1,true,false
AKF43458.1,local:final_structures/A0A0F6ZNP0.pdb,positive,3,B1,true,false
BAR80870.1,local:final_structures/A0A0G4CR63.pdb,positive,3,B1,true,false
ASC49561.1,local:final_structures/A0A1Z3FWF5.pdb,positive,3,B1,true,false
ALT07696.1,local:final_structures/A0A0S2MTX2.pdb,positive,3,B1,true,false
ALT53802.1,local:final_structures/A0A0U2ULS0.pdb,positive,3,B1,true,false
APZ75411.1,local:final_structures/A0A1P8VH15.pdb,positive,3,B1,true,false
ATJ25942.1,local:final_structures/A0A291NY14.pdb,positive,3,B1,true,false
AVX51087.1,local:final_structures/A0A2R4PHC7.pdb,positive,3,UNCLASSIFIED,true,false
AWI33311.1,local:final_structures/A0A2S1T3V3.pdb,positive,3,B1,true,false
ASU31903.1,local:final_structures/A0A288Z5L0.pdb,positive,3,B1,true,false
QFZ95817.1,local:final_structures/A0A5Q0MV96.pdb,positive,3,B1,true,false
BAF91108.1,local:final_structures/A8R403.pdb,positive,3,B1,true,false
BAO01151.1,local:final_structures/U3U4Q6.pdb,positive,3,B3,true,false
AKZ20823.1,local:final_structures/A0A0K1Z5K4.pdb,positive,3,B1,true,false
QVU28093.1,local:final_structures/A0A8E7DAJ6.pdb,positive,3,B1,true,false
QVU28098.1,local:final_structures/A0A8E7DD97.pdb,positive,3,B1,true,false
QWO25674.1,local:final_structures/A0A8F1D5U2.pdb,positive,3,B1,true,false
QYZ89892.1,local:final_structures/A0A8G1A6Q8.pdb,positive,3,B1,true,false
QYZ89893.1,local:final_structures/A0A8G1A6Z8.pdb,positive,3,B1,true,false
APL95059.1,local:final_structures/A0A1L5BQA7.pdb,positive,3,B3,true,false
QTH36338.1,local:final_structures/A0A8A5YR11.pdb,positive,3,B1,true,false
AAW82619.1,local:final_structures/Q5EEU4.pdb,positive,3,B3,true,false
BBQ04269.1,local:final_structures/A0A5S9MQZ5.pdb,positive,3,B3,true,false
QIZ64888.1,local:final_structures/A0A8E4CDK2.pdb,positive,3,B1,true,false
QIZ64889.1,local:final_structures/A0A8E4CDL2.pdb,positive,3,B1,true,false
QTG68658.1,local:final_structures/A0A8A5TKR5.pdb,positive,3,B1,true,false
O44476,local:final_structures/O44476.pdb,hard_negative,4,,true,false
Q8L633,local:final_structures/Q8L633.pdb,hard_negative,4,,true,false
Q8LGU7,local:final_structures/Q8LGU7.pdb,hard_negative,4,,true,false
D4GZ88,local:final_structures/D4GZ88.pdb,hard_negative,4,,true,false
P54548,local:final_structures/P54548.pdb,hard_negative,4,,true,false
P87168,local:final_structures/P87168.pdb,hard_negative,4,,true,false
A0PTY0,local:final_structures/A0PTY0.pdb,hard_negative,4,,true,false
A0RID9,local:final_structures/A0RID9.pdb,hard_negative,4,,true,false
A0RYQ9,local:final_structures/A0RYQ9.pdb,hard_negative,4,,true,false
A2BY56,local:final_structures/A2BY56.pdb,hard_negative,4,,true,false
A2C4C2,local:final_structures/A2C4C2.pdb,hard_negative,4,,true,false
A2C725,local:final_structures/A2C725.pdb,hard_negative,4,,true,false
A5GN87,local:final_structures/A5GN87.pdb,hard_negative,4,,true,false
A5VJA0,local:final_structures/A5VJA0.pdb,hard_negative,4,,true,false
A6L3H3,local:final_structures/A6L3H3.pdb,hard_negative,4,,true,false
A6UUY8,local:final_structures/A6UUY8.pdb,hard_negative,4,,true,false
A7GSG2,local:final_structures/A7GSG2.pdb,hard_negative,4,,true,false
A7Z6F0,local:final_structures/A7Z6F0.pdb,hard_negative,4,,true,false
A8ABB4,local:final_structures/A8ABB4.pdb,hard_negative,4,,true,false
A8YV16,local:final_structures/A8YV16.pdb,hard_negative,4,,true,false
A9A3X2,local:final_structures/A9A3X2.pdb,hard_negative,4,,true,false
A9VG79,local:final_structures/A9VG79.pdb,hard_negative,4,,true,false
B0CE23,local:final_structures/B0CE23.pdb,hard_negative,4,,true,false
B0JGG3,local:final_structures/B0JGG3.pdb,hard_negative,4,,true,false
B0R7E2,local:final_structures/B0R7E2.pdb,hard_negative,4,,true,false
B1MZQ4,local:final_structures/B1MZQ4.pdb,hard_negative,4,,true,false
B1WQW1,local:final_structures/B1WQW1.pdb,hard_negative,4,,true,false
B1XN66,local:final_structures/B1XN66.pdb,hard_negative,4,,true,false
B1YLU8,local:final_structures/B1YLU8.pdb,hard_negative,4,,true,false
B2G6S0,local:final_structures/B2G6S0.pdb,hard_negative,4,,true,false
B2GBD1,local:final_structures/B2GBD1.pdb,hard_negative,4,,true,false
B2J3C7,local:final_structures/B2J3C7.pdb,hard_negative,4,,true,false
B4U3M1,local:final_structures/B4U3M1.pdb,hard_negative,4,,true,false
B6YT50,local:final_structures/B6YT50.pdb,hard_negative,4,,true,false
B7GHJ4,local:final_structures/B7GHJ4.pdb,hard_negative,4,,true,false
B7HB12,local:final_structures/B7HB12.pdb,hard_negative,4,,true,false
B7HNQ7,local:final_structures/B7HNQ7.pdb,hard_negative,4,,true,false
B7IWQ5,local:final_structures/B7IWQ5.pdb,hard_negative,4,,true,false
B7JLZ5,local:final_structures/B7JLZ5.pdb,hard_negative,4,,true,false
B7K1N1,local:final_structures/B7K1N1.pdb,hard_negative,4,,true,false
B7K762,local:final_structures/B7K762.pdb,hard_negative,4,,true,false
B8HP81,local:final_structures/B8HP81.pdb,hard_negative,4,,true,false
B9IXD7,local:final_structures/B9IXD7.pdb,hard_negative,4,,true,false
B9LQT0,local:final_structures/B9LQT0.pdb,hard_negative,4,,true,false
C0MAM9,local:final_structures/C0MAM9.pdb,hard_negative,4,,true,false
C0MDJ9,local:final_structures/C0MDJ9.pdb,hard_negative,4,,true,false
C0ZBP8,local:final_structures/C0ZBP8.pdb,hard_negative,4,,true,false
C1AAD9,local:final_structures/C1AAD9.pdb,hard_negative,4,,true,false
C1ER14,local:final_structures/C1ER14.pdb,hard_negative,4,,true,false
C1KWS1,local:final_structures/C1KWS1.pdb,hard_negative,4,,true,false
C3LJR8,local:final_structures/C3LJR8.pdb,hard_negative,4,,true,false
C3P7S4,local:final_structures/C3P7S4.pdb,hard_negative,4,,true,false
C5A5S2,local:final_structures/C5A5S2.pdb,hard_negative,4,,true,false
C5D428,local:final_structures/C5D428.pdb,hard_negative,4,,true,false
C6A2P3,local:final_structures/C6A2P3.pdb,hard_negative,4,,true,false
O07896,local:final_structures/O07896.pdb,hard_negative,4,,true,false
O27859,local:final_structures/O27859.pdb,hard_negative,4,,true,false
O29323,local:final_structures/O29323.pdb,hard_negative,4,,true,false
O51696,local:final_structures/O51696.pdb,hard_negative,4,,true,false
O58883,local:final_structures/O58883.pdb,hard_negative,4,,true,false
O84350,local:final_structures/O84350.pdb,hard_negative,4,,true,false
P60193,local:final_structures/P60193.pdb,hard_negative,4,,true,false
P9WGZ4,local:final_structures/P9WGZ4.pdb,hard_negative,4,,true,false
P9WGZ5,local:final_structures/P9WGZ5.pdb,hard_negative,4,,true,false
Q03QP5,local:final_structures/Q03QP5.pdb,hard_negative,4,,true,false
Q03W55,local:final_structures/Q03W55.pdb,hard_negative,4,,true,false
Q0SMA2,local:final_structures/Q0SMA2.pdb,hard_negative,4,,true,false
Q118J2,local:final_structures/Q118J2.pdb,hard_negative,4,,true,false
Q1DEJ2,local:final_structures/Q1DEJ2.pdb,hard_negative,4,,true,false
Q29RY4,local:final_structures/Q29RY4.pdb,hard_negative,4,,true,false
Q3AHP8,local:final_structures/Q3AHP8.pdb,hard_negative,4,,true,false
Q3AZH7,local:final_structures/Q3AZH7.pdb,hard_negative,4,,true,false
Q3IRM5,local:final_structures/Q3IRM5.pdb,hard_negative,4,,true,false
Q46JB7,local:final_structures/Q46JB7.pdb,hard_negative,4,,true,false
Q49744,local:final_structures/Q49744.pdb,hard_negative,4,,true,false
Q55132,local:final_structures/Q55132.pdb,hard_negative,4,,true,false
Q58897,local:final_structures/Q58897.pdb,hard_negative,4,,true,false
Q5JE70,local:final_structures/Q5JE70.pdb,hard_negative,4,,true,false
Q5KXG8,local:final_structures/Q5KXG8.pdb,hard_negative,4,,true,false
Q5UZJ9,local:final_structures/Q5UZJ9.pdb,hard_negative,4,,true,false
Q5WGC3,local:final_structures/Q5WGC3.pdb,hard_negative,4,,true,false
Q5YQ00,local:final_structures/Q5YQ00.pdb,hard_negative,4,,true,false
Q635E2,local:final_structures/Q635E2.pdb,hard_negative,4,,true,false
Q65HN6,local:final_structures/Q65HN6.pdb,hard_negative,4,,true,false
Q6HE20,local:final_structures/Q6HE20.pdb,hard_negative,4,,true,false
Q6KZJ4,local:final_structures/Q6KZJ4.pdb,hard_negative,4,,true,false
Q6ME16,local:final_structures/Q6ME16.pdb,hard_negative,4,,true,false
Q71Y44,local:final_structures/Q71Y44.pdb,hard_negative,4,,true,false
Q731F6,local:final_structures/Q731F6.pdb,hard_negative,4,,true,false
Q73LB4,local:final_structures/Q73LB4.pdb,hard_negative,4,,true,false
Q7NDW3,local:final_structures/Q7NDW3.pdb,hard_negative,4,,true,false
Q818V3,local:final_structures/Q818V3.pdb,hard_negative,4,,true,false
Q81M88,local:final_structures/Q81M88.pdb,hard_negative,4,,true,false
Q89NF8,local:final_structures/Q89NF8.pdb,hard_negative,4,,true,false
Q8HY87,local:final_structures/Q8HY87.pdb,hard_negative,4,,true,false
Q8Q032,local:final_structures/Q8Q032.pdb,hard_negative,4,,true,false
Q8TLK5,local:final_structures/Q8TLK5.pdb,hard_negative,4,,true,false
Q8TWK0,local:final_structures/Q8TWK0.pdb,hard_negative,4,,true,false
Q8U182,local:final_structures/Q8U182.pdb,hard_negative,4,,true,false
Q8Y5S8,local:final_structures/Q8Y5S8.pdb,hard_negative,4,,true,false
Q8YLZ0,local:final_structures/Q8YLZ0.pdb,hard_negative,4,,true,false
Q8ZTJ7,local:final_structures/Q8ZTJ7.pdb,hard_negative,4,,true,false
Q92A38,local:final_structures/Q92A38.pdb,hard_negative,4,,true,false
Q97IQ6,local:final_structures/Q97IQ6.pdb,hard_negative,4,,true,false
Q9CHT8,local:final_structures/Q9CHT8.pdb,hard_negative,4,,true,false
Q9HJ19,local:final_structures/Q9HJ19.pdb,hard_negative,4,,true,false
Q9HN60,local:final_structures/Q9HN60.pdb,hard_negative,4,,true,false
Q9KC61,local:final_structures/Q9KC61.pdb,hard_negative,4,,true,false
Q9RDE4,local:final_structures/Q9RDE4.pdb,hard_negative,4,,true,false
Q9UZP4,local:final_structures/Q9UZP4.pdb,hard_negative,4,,true,false
Q9Z9F6,local:final_structures/Q9Z9F6.pdb,hard_negative,4,,true,false
A0QDL1,local:final_structures/A0QDL1.pdb,hard_negative,4,,true,false
A1KL99,local:final_structures/A1KL99.pdb,hard_negative,4,,true,false
A1RRK1,local:final_structures/A1RRK1.pdb,hard_negative,4,,true,false
A1UIW4,local:final_structures/A1UIW4.pdb,hard_negative,4,,true,false
A3MV61,local:final_structures/A3MV61.pdb,hard_negative,4,,true,false
A3Q2B8,local:final_structures/A3Q2B8.pdb,hard_negative,4,,true,false
A4T2G4,local:final_structures/A4T2G4.pdb,hard_negative,4,,true,false
A4WKM8,local:final_structures/A4WKM8.pdb,hard_negative,4,,true,false
A4YHP1,local:final_structures/A4YHP1.pdb,hard_negative,4,,true,false
A4YN80,local:final_structures/A4YN80.pdb,hard_negative,4,,true,false
A5U5A1,local:final_structures/A5U5A1.pdb,hard_negative,4,,true,false
A6LU82,local:final_structures/A6LU82.pdb,hard_negative,4,,true,false
A6WFU4,local:final_structures/A6WFU4.pdb,hard_negative,4,,true,false
A8M3K2,local:final_structures/A8M3K2.pdb,hard_negative,4,,true,false
A8MGK0,local:final_structures/A8MGK0.pdb,hard_negative,4,,true,false
A9KSU3,local:final_structures/A9KSU3.pdb,hard_negative,4,,true,false
B0B7R5,local:final_structures/B0B7R5.pdb,hard_negative,4,,true,false
B0BBY0,local:final_structures/B0BBY0.pdb,hard_negative,4,,true,false
B1VY42,local:final_structures/B1VY42.pdb,hard_negative,4,,true,false
B1YAJ2,local:final_structures/B1YAJ2.pdb,hard_negative,4,,true,false
B2HMC3,local:final_structures/B2HMC3.pdb,hard_negative,4,,true,false
B2RIU4,local:final_structures/B2RIU4.pdb,hard_negative,4,,true,false
B2S457,local:final_structures/B2S457.pdb,hard_negative,4,,true,false
B5RMU7,local:final_structures/B5RMU7.pdb,hard_negative,4,,true,false
B5RQ92,local:final_structures/B5RQ92.pdb,hard_negative,4,,true,false
B6IRV8,local:final_structures/B6IRV8.pdb,hard_negative,4,,true,false
B7J0K1,local:final_structures/B7J0K1.pdb,hard_negative,4,,true,false
B9KYQ3,local:final_structures/B9KYQ3.pdb,hard_negative,4,,true,false
C1AQX2,local:final_structures/C1AQX2.pdb,hard_negative,4,,true,false
C3NDQ2,local:final_structures/C3NDQ2.pdb,hard_negative,4,,true,false
C3NHZ9,local:final_structures/C3NHZ9.pdb,hard_negative,4,,true,false
Q0ST77,local:final_structures/Q0ST77.pdb,hard_negative,4,,true,false
Q0TQN4,local:final_structures/Q0TQN4.pdb,hard_negative,4,,true,false
Q1B671,local:final_structures/Q1B671.pdb,hard_negative,4,,true,false
Q253T0,local:final_structures/Q253T0.pdb,hard_negative,4,,true,false
Q3KM12,local:final_structures/Q3KM12.pdb,hard_negative,4,,true,false
Q47PQ7,local:final_structures/Q47PQ7.pdb,hard_negative,4,,true,false
Q4J9A4,local:final_structures/Q4J9A4.pdb,hard_negative,4,,true,false
Q51834,local:final_structures/Q51834.pdb,hard_negative,4,,true,false
Q5L6G2,local:final_structures/Q5L6G2.pdb,hard_negative,4,,true,false
Q5LGN7,local:final_structures/Q5LGN7.pdb,hard_negative,4,,true,false
Q64XI2,local:final_structures/Q64XI2.pdb,hard_negative,4,,true,false
Q660C0,local:final_structures/Q660C0.pdb,hard_negative,4,,true,false
Q73XT9,local:final_structures/Q73XT9.pdb,hard_negative,4,,true,false
Q74MH2,local:final_structures/Q74MH2.pdb,hard_negative,4,,true,false
Q7TYN1,local:final_structures/Q7TYN1.pdb,hard_negative,4,,true,false
Q823T8,local:final_structures/Q823T8.pdb,hard_negative,4,,true,false
Q82BX8,local:final_structures/Q82BX8.pdb,hard_negative,4,,true,false
Q8XKN1,local:final_structures/Q8XKN1.pdb,hard_negative,4,,true,false
Q973F1,local:final_structures/Q973F1.pdb,hard_negative,4,,true,false
Q9PK48,local:final_structures/Q9PK48.pdb,hard_negative,4,,true,false
O24495,local:final_structures/O24495.pdb,hard_negative,4,,true,false
O24496,local:final_structures/O24496.pdb,hard_negative,4,,true,false
O35952,local:final_structures/O35952.pdb,hard_negative,4,,true,false
P0AC84,local:final_structures/P0AC84.pdb,hard_negative,4,,true,false
P75849,local:final_structures/P75849.pdb,hard_negative,4,,true,false
Q05584,local:final_structures/Q05584.pdb,hard_negative,4,,true,false
Q12320,local:final_structures/Q12320.pdb,hard_negative,4,,true,false
Q16775,local:final_structures/Q16775.pdb,hard_negative,4,,true,false
Q99KB8,local:final_structures/Q99KB8.pdb,hard_negative,4,,true,false
Q9SID3,local:final_structures/Q9SID3.pdb,hard_negative,4,,true,false
B4F6K2,local:final_structures/B4F6K2.pdb,hard_negative,4,,true,false
Q28333,local:final_structures/Q28333.pdb,hard_negative,4,,true,false
Q3B7M2,local:final_structures/Q3B7M2.pdb,hard_negative,4,,true,false
Q4R6C1,local:final_structures/Q4R6C1.pdb,hard_negative,4,,true,false
Q5ZI23,local:final_structures/Q5ZI23.pdb,hard_negative,4,,true,false
Q6P963,local:final_structures/Q6P963.pdb,hard_negative,4,,true,false
Q8LDW8,local:final_structures/Q8LDW8.pdb,hard_negative,4,,true,false
Q8ZRM2,local:final_structures/Q8ZRM2.pdb,hard_negative,4,,true,false
A0KIK2,local:final_structures/A0KIK2.pdb,hard_negative,4,,true,false
A0KXS9,local:final_structures/A0KXS9.pdb,hard_negative,4,,true,false
A1JKA9,local:final_structures/A1JKA9.pdb,hard_negative,4,,true,false
A1S6T3,local:final_structures/A1S6T3.pdb,hard_negative,4,,true,false
A1SS88,local:final_structures/A1SS88.pdb,hard_negative,4,,true,false
A1U0V1,local:final_structures/A1U0V1.pdb,hard_negative,4,,true,false
A1WXD9,local:final_structures/A1WXD9.pdb,hard_negative,4,,true,false
A2BQ40,local:final_structures/A2BQ40.pdb,hard_negative,4,,true,false
A2C7W3,local:final_structures/A2C7W3.pdb,hard_negative,4,,true,false
A3D437,local:final_structures/A3D437.pdb,hard_negative,4,,true,false
A3PBT3,local:final_structures/A3PBT3.pdb,hard_negative,4,,true,false
A3QET2,local:final_structures/A3QET2.pdb,hard_negative,4,,true,false
A4G7G5,local:final_structures/A4G7G5.pdb,hard_negative,4,,true,false
A4SPI6,local:final_structures/A4SPI6.pdb,hard_negative,4,,true,false
A4W6V2,local:final_structures/A4W6V2.pdb,hard_negative,4,,true,false
A4XU09,local:final_structures/A4XU09.pdb,hard_negative,4,,true,false
A4YKS8,local:final_structures/A4YKS8.pdb,hard_negative,4,,true,false
A5ETG1,local:final_structures/A5ETG1.pdb,hard_negative,4,,true,false
A5F635,local:final_structures/A5F635.pdb,hard_negative,4,,true,false
A5FZE9,local:final_structures/A5FZE9.pdb,hard_negative,4,,true,false
A5GJK5,local:final_structures/A5GJK5.pdb,hard_negative,4,,true,false
A5VSR1,local:final_structures/A5VSR1.pdb,hard_negative,4,,true,false
A6T510,local:final_structures/A6T510.pdb,hard_negative,4,,true,false
A6VNK4,local:final_structures/A6VNK4.pdb,hard_negative,4,,true,false
A6WXE0,local:final_structures/A6WXE0.pdb,hard_negative,4,,true,false
A7ZHU8,local:final_structures/A7ZHU8.pdb,hard_negative,4,,true,false
A8AKR2,local:final_structures/A8AKR2.pdb,hard_negative,4,,true,false
A8GA75,local:final_structures/A8GA75.pdb,hard_negative,4,,true,false
A8H589,local:final_structures/A8H589.pdb,hard_negative,4,,true,false
A9BEI3,local:final_structures/A9BEI3.pdb,hard_negative,4,,true,false
A9M8S2,local:final_structures/A9M8S2.pdb,hard_negative,4,,true,false
B0BZI8,local:final_structures/B0BZI8.pdb,hard_negative,4,,true,false
B0JW10,local:final_structures/B0JW10.pdb,hard_negative,4,,true,false
B0TRL8,local:final_structures/B0TRL8.pdb,hard_negative,4,,true,false
B1WUT9,local:final_structures/B1WUT9.pdb,hard_negative,4,,true,false
B2FR57,local:final_structures/B2FR57.pdb,hard_negative,4,,true,false
B2IVH7,local:final_structures/B2IVH7.pdb,hard_negative,4,,true,false
B2U350,local:final_structures/B2U350.pdb,hard_negative,4,,true,false
B2VHJ7,local:final_structures/B2VHJ7.pdb,hard_negative,4,,true,false
B3R1Y0,local:final_structures/B3R1Y0.pdb,hard_negative,4,,true,false
B4SLN7,local:final_structures/B4SLN7.pdb,hard_negative,4,,true,false
B7K3R6,local:final_structures/B7K3R6.pdb,hard_negative,4,,true,false
B7KEB4,local:final_structures/B7KEB4.pdb,hard_negative,4,,true,false
B7LW87,local:final_structures/B7LW87.pdb,hard_negative,4,,true,false
